timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size
1695103995.3345752,10.0.0.4,10.0.0.3,42568,1194,17,139
1695103996.4531553,10.0.0.3,10.0.0.5,42568,1194,17,139
1695103997.5376046,10.0.0.4,10.0.0.1,42568,1194,17,139
1695103998.6373153,10.0.0.2,10.0.0.5,42568,1194,17,139
1695103999.7499828,10.0.0.5,10.0.0.4,42568,1194,17,139
1695104000.8493361,10.0.0.2,10.0.0.4,42568,1194,17,139
1695104001.9211884,10.0.0.1,10.0.0.2,42568,1194,17,139
1695104002.9931817,10.0.0.3,10.0.0.1,42568,1194,17,139
1695104004.0731728,10.0.0.5,10.0.0.2,42568,1194,17,139
1695104005.1900373,10.0.0.5,10.0.0.3,42568,1194,17,139
1695104006.329088,10.0.0.3,10.0.0.4,42568,1194,17,139
1695104007.4460185,10.0.0.5,10.0.0.4,42568,1194,17,139
1695104008.5173635,10.0.0.4,10.0.0.1,42568,1194,17,139
1695104009.617092,10.0.0.2,10.0.0.3,42568,1194,17,139
1695104010.717269,10.0.0.1,10.0.0.2,42568,1194,17,139
1695104011.801174,10.0.0.4,10.0.0.5,42568,1194,17,139
1695104012.8774521,10.0.0.4,10.0.0.1,42568,1194,17,139
1695104013.9731696,10.0.0.5,10.0.0.4,42568,1194,17,139
1695104015.057179,10.0.0.5,10.0.0.1,42568,1194,17,139
1695104016.1731927,10.0.0.4,10.0.0.1,42568,1194,17,139
1695104017.2692902,10.0.0.1,10.0.0.2,42568,1194,17,139
1695104018.3650346,10.0.0.2,10.0.0.3,42568,1194,17,139
