# TEST CONFIGURATION BEGIN
# FileStream(filename='flows.csv', target_idx=6, n_targets=1, cat_features=None)
# [M0] HoeffdingAdaptiveTreeClassifier(binary_split=True, bootstrap_sampling=True, grace_period=400, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-05, split_criterion='gini', stop_mem_management=False, tie_threshold=0.005)
# EvaluatePrequential(batch_size=1, data_points_for_classification=True, max_samples=100000, max_time=inf, metrics=['precision', 'recall', 'accuracy', 'kappa', 'data_points'], n_wait=200, output_file='log_CVFDT_training.csv', pretrain_size=500, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_precision_[M0],current_precision_[M0],mean_recall_[M0],current_recall_[M0],mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
500,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
501,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
599,0.923077,0.923077,1.000000,1.000000,0.990000,0.990000,0.954296,0.954296
799,0.882353,0.857143,1.000000,1.000000,0.986667,0.985000,0.930070,0.914821
999,0.882353,0.882353,1.000000,1.000000,0.988000,0.990000,0.930891,0.932088
1199,0.847222,0.761905,1.000000,1.000000,0.984286,0.975000,0.908677,0.851367
1399,0.860759,1.000000,1.000000,1.000000,0.987778,1.000000,0.918556,1.000000
1599,0.826087,0.615385,1.000000,1.000000,0.985455,0.975000,0.896965,0.749499
1799,0.828283,0.857143,1.000000,1.000000,0.986923,0.995000,0.899116,0.920509
1999,0.819048,0.666667,1.000000,1.000000,0.987333,0.990000,0.893831,0.795082
2199,0.803571,0.571429,1.000000,1.000000,0.987059,0.985000,0.884296,0.720149
2399,0.795082,0.700000,1.000000,1.000000,0.986842,0.985000,0.878960,0.815951
2599,0.781250,0.500000,1.000000,1.000000,0.986667,0.985000,0.870256,0.659864
2799,0.778626,0.666667,1.000000,1.000000,0.987391,0.995000,0.869004,0.797571
2999,0.770370,0.500000,1.000000,1.000000,0.987600,0.990000,0.863897,0.662162
3199,0.769784,0.750000,1.000000,1.000000,0.988148,0.995000,0.863820,0.854651
3399,0.753425,0.428571,1.000000,1.000000,0.987586,0.980000,0.853016,0.591420
3599,0.746667,0.500000,1.000000,1.000000,0.987742,0.990000,0.848703,0.662162
3799,0.741935,0.600000,1.000000,1.000000,0.987879,0.990000,0.845677,0.745223
3999,0.740741,0.714286,1.000000,1.000000,0.988000,0.990000,0.844956,0.828326
4199,0.733333,0.333333,1.000000,1.000000,0.988108,0.990000,0.840121,0.496222
4399,0.730994,0.666667,1.000000,1.000000,0.988205,0.990000,0.838618,0.795082
4599,0.724719,0.571429,1.000000,1.000000,0.988049,0.985000,0.834347,0.720149
4799,0.721311,0.600000,1.000000,1.000000,0.988140,0.990000,0.832107,0.745223
4999,0.717391,0.000000,1.000000,0.000000,0.988444,0.995000,0.829623,0.000000
5199,0.721925,1.000000,1.000000,1.000000,0.988936,1.000000,0.832936,1.000000
5399,0.719577,0.500000,1.000000,1.000000,0.989184,0.995000,0.831483,0.664430
5599,0.711340,0.400000,1.000000,1.000000,0.989020,0.985000,0.825817,0.565217
5799,0.704082,0.000000,1.000000,0.000000,0.989057,0.990000,0.820873,0.000000
5999,0.678049,0.111111,1.000000,1.000000,0.988000,0.960000,0.802181,0.192735
6199,0.673077,0.333333,1.000000,1.000000,0.988070,0.990000,0.798687,0.496222
6399,0.663507,0.000000,1.000000,0.000000,0.987966,0.985000,0.791781,0.000000
6599,0.666667,0.750000,1.000000,1.000000,0.988033,0.990000,0.794086,0.852071
6799,0.663636,0.000000,1.000000,0.000000,0.988254,0.995000,0.792020,0.000000
6999,0.662162,0.500000,1.000000,1.000000,0.988462,0.995000,0.791062,0.664430
7199,0.662222,0.666667,1.000000,1.000000,0.988657,0.995000,0.791205,0.797571
7399,0.656522,0.400000,1.000000,1.000000,0.988551,0.985000,0.787024,0.565217
7599,0.648069,0.000000,1.000000,0.000000,0.988451,0.985000,0.780801,0.000000
7799,0.646809,0.500000,1.000000,1.000000,0.988630,0.995000,0.779966,0.664430
7999,0.641350,0.000000,1.000000,0.000000,0.988667,0.990000,0.775958,0.000000
8199,0.629630,0.166667,1.000000,1.000000,0.988312,0.975000,0.767046,0.279539
8399,0.620968,0.200000,1.000000,1.000000,0.988101,0.980000,0.760406,0.327731
8599,0.618474,0.000000,1.000000,0.000000,0.988272,0.995000,0.758596,0.000000
8799,0.615079,0.333333,1.000000,1.000000,0.988313,0.990000,0.756029,0.496222
8999,0.612648,0.000000,1.000000,0.000000,0.988471,0.995000,0.754246,0.000000
9199,0.607843,0.000000,1.000000,0.000000,0.988506,0.990000,0.750570,0.000000
9399,0.603113,0.000000,1.000000,0.000000,0.988539,0.990000,0.746929,0.000000
9599,0.598456,0.000000,1.000000,0.000000,0.988571,0.990000,0.743322,0.000000
9799,0.600000,1.000000,1.000000,1.000000,0.988817,1.000000,0.744646,1.000000
9999,0.590909,0.000000,1.000000,0.000000,0.988632,0.980000,0.737437,0.000000
10199,0.590226,0.500000,1.000000,1.000000,0.988763,0.995000,0.736962,0.664430
10399,0.585821,0.000000,1.000000,0.000000,0.988788,0.990000,0.733493,0.000000
10599,0.583026,0.333333,1.000000,1.000000,0.988812,0.990000,0.731286,0.496222
10799,0.584559,1.000000,1.000000,1.000000,0.989029,1.000000,0.732609,1.000000
10999,0.584559,0.000000,1.000000,0.000000,0.989238,1.000000,0.732710,0.000000
11199,0.580292,0.000000,1.000000,0.000000,0.989252,0.990000,0.729321,0.000000
11399,0.576087,0.000000,1.000000,0.000000,0.989266,0.990000,0.725962,0.000000
11599,0.576087,0.000000,1.000000,0.000000,0.989459,1.000000,0.726055,0.000000
11799,0.577617,1.000000,1.000000,1.000000,0.989646,1.000000,0.727372,1.000000
11999,0.576512,0.500000,1.000000,1.000000,0.989652,0.990000,0.726489,0.662162
12199,0.574468,0.000000,1.000000,0.000000,0.989744,0.995000,0.724891,0.000000
12399,0.573944,0.500000,1.000000,1.000000,0.989832,0.995000,0.724512,0.664430
12599,0.571930,0.000000,1.000000,0.000000,0.989917,0.995000,0.722930,0.000000
12799,0.571930,0.000000,1.000000,0.000000,0.990081,1.000000,0.723008,0.000000
12999,0.569930,0.000000,1.000000,0.000000,0.990160,0.995000,0.721430,0.000000
13199,0.567944,0.000000,1.000000,0.000000,0.990236,0.995000,0.719858,0.000000
13399,0.565972,0.000000,1.000000,0.000000,0.990310,0.995000,0.718292,0.000000
13599,0.563574,0.333333,1.000000,1.000000,0.990305,0.990000,0.716337,0.496222
13799,0.563140,0.500000,1.000000,1.000000,0.990376,0.995000,0.716016,0.664430
13999,0.561224,0.000000,1.000000,0.000000,0.990444,0.995000,0.714484,0.000000
14199,0.561224,0.000000,1.000000,0.000000,0.990584,1.000000,0.714550,0.000000
14399,0.562712,1.000000,1.000000,1.000000,0.990719,1.000000,0.715830,1.000000
14599,0.562712,0.000000,1.000000,0.000000,0.990851,1.000000,0.715893,0.000000
14799,0.568562,1.000000,1.000000,1.000000,0.990979,1.000000,0.720713,1.000000
14999,0.568106,0.500000,1.000000,1.000000,0.991034,0.995000,0.720370,0.664430
15199,0.562092,0.200000,1.000000,1.000000,0.990884,0.980000,0.715402,0.327731
15399,0.559871,0.333333,1.000000,1.000000,0.990872,0.990000,0.713578,0.496222
